/Users/zacharyreid/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-04 13:16:48,766 - __main__ - INFO -    Fighters: 4455 total, 4 with career stats
2026-03-04 13:16:48,766 - __main__ - INFO -    Events: 33
2026-03-04 13:16:48,767 - __main__ - INFO -    Fights: 218
2026-03-04 13:16:48,767 - __main__ - INFO -    Fight Stats: 430
2026-03-04 13:16:48,772 - __main__ - INFO - ============================================================
2026-03-04 13:16:48,772 - __main__ - INFO - PHASE 2: COLLECTING ALL HISTORICAL EVENTS
2026-03-04 13:16:48,772 - __main__ - INFO - ============================================================
2026-03-04 13:16:48,774 - __main__ - INFO - Currently have 33 events
2026-03-04 13:16:48,774 - scrapers.ufc_scraper - INFO - Fetching events page 1...
2026-03-04 13:16:50,806 - scrapers.ufc_scraper - INFO - ✅ Total events found: 24
2026-03-04 13:16:50,806 - __main__ - INFO - Found 24 completed events on UFC Stats
2026-03-04 13:16:50,813 - __main__ - INFO - ✅ Phase 2 Complete - Added 0 new events
2026-03-04 13:16:50,814 - __main__ - INFO - 🏁 MILESTONE: PHASE 2 COMPLETE - 0 completed 
2026-03-04 13:16:50,826 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 13:16:50,826 - __main__ - INFO -    Fighters: 4455 total, 4 with career stats
2026-03-04 13:16:50,826 - __main__ - INFO -    Events: 33
2026-03-04 13:16:50,826 - __main__ - INFO -    Fights: 218
2026-03-04 13:16:50,826 - __main__ - INFO -    Fight Stats: 430
2026-03-04 13:16:50,826 - __main__ - INFO - ============================================================
2026-03-04 13:16:50,826 - __main__ - INFO - PHASE 3: COLLECTING ALL FIGHTS & DETAILED STATS
2026-03-04 13:16:50,826 - __main__ - INFO - ============================================================
2026-03-04 13:16:50,827 - __main__ - INFO - Processing fights from 33 events
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Moreno vs. Kavanagh: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Strickland vs. Hernandez: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Bautista vs. Oliveira: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC 325: Volkanovski vs. Lopes 2: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC 324: Gaethje vs. Pimblett: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Tsarukyan vs. Hooker: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Garcia vs. Onama: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Oliveira vs. Gamrot: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Lopes vs. Silva: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC - Road to UFC 4.6: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Taira vs. Park: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC 326: Holloway vs. Oliveira 2: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Adesanya vs. Pyfer: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Burns vs. Malott: 'Event' object has no attribute 'url'
